time,target distance,affordance,memory,random,short term memory,world model
1705.0,0,1,0,0,0,0
2558.0,0,2,0,0,0,0
2955.0,0,3,0,0,0,0
9064.0,0,4,0,0,0,0
9088.0,0,5,0,0,0,0
10738.0,0,6,0,0,0,0
10742.0,0,7,0,0,0,0
11383.0,0,8,0,0,0,0
11826.0,0,9,0,0,0,0
12381.0,0,10,0,0,0,0
12685.0,0,11,0,0,0,0
12686.0,0,12,0,0,0,0
24414.0,0,13,0,0,0,0
39979.0,0,14,0,0,0,0
40050.0,0,15,0,0,0,0
47936.0,0,16,0,0,0,0
48644.0,0,17,0,0,0,0
48645.0,0,18,0,0,0,0
49214.0,0,19,0,0,0,0
49649.0,0,20,0,0,0,0
49651.0,0,21,0,0,0,0
49659.0,0,22,0,0,0,0
50871.0,0,23,0,0,0,0
51122.0,0,23,0,1,0,0
74519.0,0,24,0,1,0,0
74520.0,0,25,0,1,0,0
83145.0,0,26,0,1,0,0
83403.0,0,27,0,1,0,0
84466.0,0,28,0,1,0,0
95278.0,0,29,0,1,0,0
107047.0,0,30,0,1,0,0
107071.0,0,31,0,1,0,0
107136.0,0,32,0,1,0,0
107223.0,0,33,0,1,0,0
110475.0,0,34,0,1,0,0
115247.0,0,35,0,1,0,0
117935.0,0,36,0,1,0,0
118785.0,0,37,0,1,0,0
118892.0,0,38,0,1,0,0
119280.0,0,38,0,2,0,0
119706.0,0,38,0,3,0,0
119714.0,0,38,0,4,0,0
119813.0,0,38,0,5,0,0
122574.0,0,38,0,6,0,0
122579.0,0,38,0,7,0,0
122580.0,0,38,0,8,0,0
126920.0,0,39,0,8,0,0
131860.0,0,40,0,8,0,0
133459.0,0,41,0,8,0,0
133865.0,0,42,0,8,0,0
139602.0,0,42,0,9,0,0
139603.0,0,43,0,9,0,0
144456.0,0,44,0,9,0,0
144765.0,0,45,0,9,0,0
147061.0,0,46,0,9,0,0
147187.0,0,47,0,9,0,0
159352.0,0,47,0,10,0,0
159353.0,0,47,0,11,0,0
160602.0,0,48,0,11,0,0
160735.0,0,49,0,11,0,0
160745.0,0,50,0,11,0,0
160773.0,0,51,0,11,0,0
162890.0,0,52,0,11,0,0
163059.0,0,53,0,11,0,0
163430.0,0,54,0,11,0,0
163896.0,0,55,0,11,0,0
165739.0,0,56,0,11,0,0
165827.0,0,57,0,11,0,0
165843.0,0,58,0,11,0,0
166203.0,0,59,0,11,0,0
189245.0,0,60,0,11,0,0
190077.0,0,61,0,11,0,0
190411.0,0,62,0,11,0,0
190777.0,0,63,0,11,0,0
191323.0,0,64,0,11,0,0
191334.0,0,64,0,12,0,0
191576.0,0,64,0,13,0,0
211807.0,0,65,0,13,0,0
219244.0,0,65,0,13,0,1
219271.0,0,65,0,13,0,2
219298.0,0,65,0,13,0,3
219733.0,0,66,0,13,0,3
225444.0,0,67,0,13,0,3
225936.0,0,68,0,13,0,3
229582.0,0,69,0,13,0,3
230280.0,0,70,0,13,0,3
231738.0,0,71,0,13,0,3
231739.0,0,72,0,13,0,3
235074.0,0,72,0,13,0,4
239656.0,0,72,0,13,0,5
241389.0,0,73,0,13,0,5
242080.0,0,74,0,13,0,5
246547.0,0,74,0,13,0,6
247242.0,0,75,0,13,0,6
251930.0,0,76,0,13,0,6
251932.0,0,77,0,13,0,6
252271.0,0,78,0,13,0,6
261602.0,0,79,0,13,0,6
263493.0,0,80,0,13,0,6
270037.0,0,81,0,13,0,6
272453.0,0,81,0,13,0,7
272486.0,0,82,0,13,0,7
274297.0,0,83,0,13,0,7
274336.0,0,83,0,13,0,8
288467.0,0,84,0,13,0,8
290086.0,0,85,0,13,0,8
291444.0,0,86,0,13,0,8
292400.0,0,87,0,13,0,8
293473.0,0,87,0,13,0,9
